,X,Y,Z
287116,26495.00561,81168.34336,8806.2708
170689,20798.54001,81168.34336,9445.67
284936,19737.71861,82287.29196,8762.6754
660629,21292.62121,78610.74656,9155.034
390794,21292.62121,84743.16616000001,1104.4168
651922,26887.364210000003,77622.58416,5914.4426
197410,21379.812009999998,75922.36356,9925.2194
57914,20929.32621,83958.44896000001,7600.1314
274263,23094.56441,83420.77236,8646.421
560435,19388.95541,84772.22976,3284.1868
460862,20638.69021,84801.29336,1656.6252
99713,24460.55361,86196.34616,4461.2626
89571,26175.30601,82345.41916,4868.153
191981,24126.32221,82490.73716,8995.1842
359642,24925.57121,86574.17296,2775.5738
310543,22847.52381,77564.45696,8457.5076
238171,17223.71721,79715.16336,8137.808000000001
310940,22760.33301,83260.92256,8457.5076
249315,22716.73761,78276.51516,8166.8716
636114,25463.24781,83863.99226,2063.5156
413701,23486.92301,87998.28936,682.9946
529574,24838.380409999998,85978.36916,3894.5224
363625,19214.573809999998,80819.58016,2964.4872
196764,24896.50761,78203.85616,9910.6876
241464,22978.31001,77491.79796,8036.0854
289193,21815.76601,75849.70456,8733.6118
14690,20740.412809999998,78232.91976,6553.8418
576168,22382.50621,86937.46796000001,2993.5508
184809,18909.40601,78320.11056,8878.9298
650231,24097.25861,82919.42526,9024.2478
203584,20784.00821,80993.96176,9896.1558
140295,23385.200409999998,79497.18636,5158.789000000001
39059,22309.84721,86298.06876000001,6059.7606
196460,23704.90001,79235.61396,9939.7512
417638,23515.98661,88027.35296,566.7402
95277,26204.369609999998,81676.95636,4795.494000000001
639830,23704.90001,88688.54986,1613.0298
3604,21801.23421,85382.56536000001,6495.7146
158024,19824.90941,80107.52196,9227.693000000001
471925,21496.06641,81691.48816000001,3763.7362
496431,25361.52521,84786.76156,3647.4818
609001,21932.02041,76888.72826,9649.1152
110903,18328.134009999998,76736.14436,4635.6442
650324,21670.44801,75319.29386,9038.7796
318578,19912.10021,80834.11196000001,2252.429
67895,21394.34381,85164.58836000001,6888.0732
139487,25884.670009999998,77942.28376,5158.789000000001
172151,19912.10021,80470.81696,9343.9474
556117,18953.00141,82112.91036000001,3269.655
610109,21125.50551,87271.69936,4562.9852
413097,23428.79581,87751.24876,668.4628
561508,18473.45201,80456.28516,3153.4006
663004,17456.22601,78896.53862,6519.934267000001
420706,21292.62121,85600.54236,842.8444
512009,26073.58341,79017.63696,4199.6902
74398,22382.50621,85353.50176,7120.581999999999
22044,22164.52921,78785.12816000001,5972.5698
603539,25564.970409999998,81844.07206,2920.8918
294206,24039.131409999998,78668.87376,8355.785
530214,20696.81741,81255.53416,3909.0542
498322,24620.40341,85644.13776,3662.0136
282968,20130.07721,77782.43396000001,8602.8256
518399,24416.95821,86239.94156,4359.54
408755,24228.04481,87010.12696000001,1206.1394
129627,21684.97981,78596.21476,5769.1246
462683,24446.02181,88434.24336000001,1525.839
231600,21045.58061,75675.32296,9678.1788
457187,21321.68481,88012.82116,1395.0528
35615,21452.47101,79511.71816,6001.6334
285176,23908.34521,82694.18236,8762.6754
165266,23399.73221,82752.30956000001,9184.0976
254962,22179.061009999998,84408.93476,7847.172
158336,19839.44121,81313.66136,9242.2248
572152,20871.19901,85818.51936,2979.0190000000002
257100,20013.822809999998,78683.40556,7876.2356
