Name,Position,Age,Team_from,League_from,Team_to,League_to,Season,Market_value,Transfer_fee
Stéphane Mbia,Defensive Midfield,26,Marseille,Ligue 1,QPR,Premier League,2012-2013,9000000.0,6000000
Aly Cissokho,Left-Back,24,Olympique Lyon,Ligue 1,Valencia CF,LaLiga,2012-2013,7000000.0,6000000
Iván Ramis,Centre-Back,27,RCD Mallorca,LaLiga,Wigan,Premier League,2012-2013,6000000.0,6000000
Wálter Montillo,Attacking Midfield,28,Cruzeiro,Série A,Santos FC,Série A,2012-2013,5000000.0,6000000
Modibo Maïga,Centre-Forward,24,FC Sochaux,Ligue 1,West Ham,Premier League,2012-2013,5000000.0,6000000
Danny Graham,Centre-Forward,27,Swansea,Premier League,Sunderland,Premier League,2012-2013,4000000.0,5800000
Steven Pienaar,Left Winger,30,Spurs,Premier League,Everton,Premier League,2012-2013,7000000.0,5750000
Marquinhos,Centre-Back,18,Corinthians,Série A,AS Roma,Serie A,2012-2013,750000.0,5700000
Julian Schieber,Centre-Forward,23,VfB Stuttgart,1.Bundesliga,Bor. Dortmund,1.Bundesliga,2012-2013,8000000.0,5500000
Eren Derdiyok,Centre-Forward,24,Bay. Leverkusen,1.Bundesliga,TSG Hoffenheim,1.Bundesliga,2012-2013,7500000.0,5500000
Eljero Elia,Left Winger,25,Juventus,Serie A,Werder Bremen,1.Bundesliga,2012-2013,5000000.0,5500000
Wallace Oliveira,Right-Back,18,Fluminense,Série A,Chelsea,Premier League,2012-2013,2000000.0,5400000
Ezequiel Schelotto,Right-Back,23,Atalanta,Serie A,Inter,Serie A,2012-2013,6500000.0,5300000
Maicosuel,Left Winger,26,Botafogo,Série A,Udinese Calcio,Serie A,2012-2013,2500000.0,5300000
Marko Livaja,Centre-Forward,19,Inter,Serie A,Atalanta,Serie A,2012-2013,1800000.0,5050000
Dimitar Berbatov,Centre-Forward,31,Man Utd,Premier League,Fulham,Premier League,2012-2013,11500000.0,5000000
Antonio Cassano,Second Striker,30,AC Milan,Serie A,Inter,Serie A,2012-2013,10000000.0,5000000
Dedé,Centre-Back,24,Vasco da Gama,Série A,Cruzeiro,Série A,2012-2013,7500000.0,5000000
Germán Denis,Centre-Forward,30,Udinese Calcio,Serie A,Atalanta,Serie A,2012-2013,5500000.0,5000000
Daniel Congré,Centre-Back,27,Toulouse,Ligue 1,Montpellier,Ligue 1,2012-2013,4500000.0,5000000
